product_name,category,price,date_sold,discount,quantity
Greek Yogurt,Dairy & Eggs,37.32,2025-01-25,0.22,3
Pasta,Pantry Staples,148.11,2025-02-16,0.3,15
Baby Shampoo,Baby Products,197.86,2025-02-26,0.01,6
Sunflower Oil,Pantry Staples,71.42,2025-07-19,0.09,5
Biscuits,Snacks & Sweets,176.76,2025-03-08,0.33,19
Greek Yogurt,Dairy & Eggs,76.69,2025-05-16,0.19,13
Greek Yogurt,Dairy & Eggs,117.18,2025-03-11,0.2,12
Trail Mix,Snacks & Sweets,134.58,2025-03-16,0.07,17
Shampoo,Personal Care,7.16,2025-02-06,0.13,12
Teething Gel,Baby Products,173.05,2025-02-06,0.3,2
Greek Yogurt,Dairy & Eggs,50.95,2025-06-14,0.23,11
Disinfectant Spray,Cleaning Supplies,109.21,2025-07-12,0.2,16
White Sugar,Pantry Staples,176.81,2025-03-02,0.02,20
Pasta,Pantry Staples,85.44,2025-02-19,0.16,9
Fresh Milk,Dairy & Eggs,76.35,2025-02-22,0.32,20
Infant Formula,Baby Products,115.55,2025-04-01,0.09,4
Greek Yogurt,Dairy & Eggs,152.41,2025-05-30,0.15,18
Fresh Milk,Dairy & Eggs,119.96,2025-03-29,0.19,1
Baby Shampoo,Baby Products,31.94,2025-03-14,0.22,16
Face Wash,Personal Care,181.48,2025-05-01,0.18,3
Disinfectant Spray,Cleaning Supplies,172.84,2025-04-20,0.03,2
Scrub Sponge,Cleaning Supplies,126.27,2025-05-09,0.23,10
Baby Shampoo,Baby Products,93.64,2025-04-03,0.08,4
Scrub Sponge,Cleaning Supplies,195.23,2025-04-20,0.21,4
Potato Chips,Snacks & Sweets,128.79,2025-05-24,0.33,13
Teething Gel,Baby Products,125.46,2025-02-10,0.01,7
Teething Gel,Baby Products,147.07,2025-05-26,0.09,11
Cheddar Cheese,Dairy & Eggs,171.61,2025-04-13,0.07,7
Liquid Detergent,Cleaning Supplies,34.69,2025-07-10,0.27,6
Biscuits,Snacks & Sweets,124.64,2025-06-16,0.34,11
Liquid Detergent,Cleaning Supplies,107.49,2025-04-08,0.09,14
Trail Mix,Snacks & Sweets,45.86,2025-04-22,0.03,6
Glass Cleaner,Cleaning Supplies,29.23,2025-05-17,0.27,20
Sunflower Oil,Pantry Staples,145.03,2025-04-01,0.2,17
White Sugar,Pantry Staples,120.88,2025-06-15,0.22,17
Shampoo,Personal Care,111.39,2025-03-02,0.32,14
Diapers,Baby Products,182.75,2025-04-06,0.03,12
Infant Formula,Baby Products,131.53,2025-03-12,0.32,1
Disinfectant Spray,Cleaning Supplies,47.06,2025-02-18,0.16,9
Organic Eggs,Dairy & Eggs,131.15,2025-03-11,0.02,13
Deodorant,Personal Care,62.74,2025-02-23,0.24,3
Bleach,Cleaning Supplies,4.28,2025-01-27,0.25,20
Pasta,Pantry Staples,40.51,2025-03-26,0.26,9
Liquid Detergent,Cleaning Supplies,82.71,2025-02-01,0.35,20
White Sugar,Pantry Staples,45.91,2025-01-23,0.03,4
Trail Mix,Snacks & Sweets,149.49,2025-02-10,0.11,5
Cheddar Cheese,Dairy & Eggs,164.29,2025-03-05,0.15,7
Gummy Bears,Snacks & Sweets,36.28,2025-03-18,0.22,9
Biscuits,Snacks & Sweets,30.35,2025-05-30,0.32,14
Trail Mix,Snacks & Sweets,171.17,2025-05-14,0.06,10
Bleach,Cleaning Supplies,109.93,2025-06-27,0.34,8
Diapers,Baby Products,151.6,2025-03-28,0.28,2
Organic Eggs,Dairy & Eggs,99.63,2025-06-06,0.24,18
Body Lotion,Personal Care,44.12,2025-06-17,0.34,12
Sunflower Oil,Pantry Staples,42.37,2025-06-16,0.33,5
Pasta,Pantry Staples,91.36,2025-03-02,0.09,8
Organic Eggs,Dairy & Eggs,63.87,2025-03-04,0.0,13
Bleach,Cleaning Supplies,153.56,2025-06-27,0.2,11
Organic Eggs,Dairy & Eggs,20.34,2025-06-04,0.3,10
Glass Cleaner,Cleaning Supplies,95.65,2025-06-18,0.18,4
Sunflower Oil,Pantry Staples,159.19,2025-05-24,0.35,8
Canned Beans,Pantry Staples,153.29,2025-03-22,0.17,11
Fresh Milk,Dairy & Eggs,80.81,2025-06-26,0.08,17
Disinfectant Spray,Cleaning Supplies,164.03,2025-05-17,0.11,11
Body Lotion,Personal Care,4.26,2025-05-16,0.18,13
Diapers,Baby Products,6.33,2025-06-17,0.27,1
Infant Formula,Baby Products,93.15,2025-07-21,0.24,17
Gummy Bears,Snacks & Sweets,159.98,2025-02-20,0.07,6
Glass Cleaner,Cleaning Supplies,67.67,2025-04-27,0.03,15
Canned Beans,Pantry Staples,69.94,2025-03-11,0.06,2
Baby Wipes,Baby Products,28.77,2025-03-25,0.02,13
Cheddar Cheese,Dairy & Eggs,187.7,2025-04-06,0.29,1
White Sugar,Pantry Staples,66.43,2025-03-21,0.06,7
White Sugar,Pantry Staples,24.48,2025-03-19,0.16,12
Baby Shampoo,Baby Products,54.89,2025-02-01,0.02,1
Fresh Milk,Dairy & Eggs,139.07,2025-02-20,0.14,14
Biscuits,Snacks & Sweets,114.67,2025-02-09,0.23,15
Teething Gel,Baby Products,63.12,2025-04-13,0.02,16
Baby Wipes,Baby Products,20.56,2025-02-24,0.15,5
Face Wash,Personal Care,196.15,2025-04-10,0.19,18
Salted Butter,Dairy & Eggs,126.94,2025-04-09,0.22,12
Deodorant,Personal Care,45.76,2025-05-07,0.29,3
Scrub Sponge,Cleaning Supplies,100.08,2025-06-05,0.07,15
Cheddar Cheese,Dairy & Eggs,197.96,2025-04-22,0.28,6
Glass Cleaner,Cleaning Supplies,29.49,2025-04-25,0.1,18
White Sugar,Pantry Staples,165.94,2025-03-25,0.29,8
All-Purpose Flour,Pantry Staples,191.04,2025-01-24,0.19,8
Deodorant,Personal Care,140.16,2025-02-05,0.02,1
Shampoo,Personal Care,134.82,2025-05-13,0.05,1
Disinfectant Spray,Cleaning Supplies,185.03,2025-06-02,0.19,6
Glass Cleaner,Cleaning Supplies,194.93,2025-06-19,0.29,8
Biscuits,Snacks & Sweets,35.16,2025-01-24,0.04,3
Sunflower Oil,Pantry Staples,65.11,2025-03-02,0.01,13
Baby Wipes,Baby Products,99.08,2025-02-27,0.14,20
Liquid Detergent,Cleaning Supplies,118.87,2025-04-15,0.23,20
Salted Butter,Dairy & Eggs,97.84,2025-05-19,0.26,12
Salted Butter,Dairy & Eggs,102.67,2025-03-25,0.04,15
Gummy Bears,Snacks & Sweets,199.82,2025-02-16,0.14,15
Teething Gel,Baby Products,128.43,2025-06-28,0.18,1
Cheddar Cheese,Dairy & Eggs,137.29,2025-03-11,0.14,11
Gummy Bears,Snacks & Sweets,190.18,2025-06-11,0.04,10
Liquid Detergent,Cleaning Supplies,112.73,2025-01-23,0.2,15
Shampoo,Personal Care,190.12,2025-03-17,0.0,15
Potato Chips,Snacks & Sweets,32.8,2025-06-23,0.03,6
Bleach,Cleaning Supplies,62.13,2025-06-29,0.07,2
Trail Mix,Snacks & Sweets,189.45,2025-04-05,0.09,3
Disinfectant Spray,Cleaning Supplies,29.44,2025-03-15,0.04,10
Baby Wipes,Baby Products,50.45,2025-07-08,0.3,7
Face Wash,Personal Care,9.19,2025-06-13,0.02,15
Body Lotion,Personal Care,133.28,2025-06-20,0.29,4
Disinfectant Spray,Cleaning Supplies,20.72,2025-04-10,0.28,10
Face Wash,Personal Care,18.8,2025-03-03,0.26,14
Cheddar Cheese,Dairy & Eggs,64.28,2025-04-25,0.1,10
Body Lotion,Personal Care,185.01,2025-02-21,0.2,3
Bleach,Cleaning Supplies,145.07,2025-03-19,0.25,5
Deodorant,Personal Care,9.32,2025-07-18,0.01,12
Face Wash,Personal Care,33.66,2025-06-04,0.04,4
Teething Gel,Baby Products,180.4,2025-04-10,0.16,6
White Sugar,Pantry Staples,48.12,2025-03-23,0.26,7
Biscuits,Snacks & Sweets,154.42,2025-06-05,0.29,12
Cheddar Cheese,Dairy & Eggs,40.8,2025-07-17,0.07,12
Canned Beans,Pantry Staples,41.84,2025-06-22,0.06,2
Shampoo,Personal Care,144.99,2025-03-02,0.32,8
Bleach,Cleaning Supplies,167.25,2025-05-28,0.28,19
Scrub Sponge,Cleaning Supplies,185.17,2025-07-02,0.12,7
Greek Yogurt,Dairy & Eggs,86.62,2025-05-12,0.13,20
Body Lotion,Personal Care,133.35,2025-06-18,0.31,3
Chocolate Bar,Snacks & Sweets,130.03,2025-05-14,0.23,12
Shampoo,Personal Care,150.56,2025-03-16,0.28,6
Liquid Detergent,Cleaning Supplies,122.07,2025-06-29,0.0,2
Potato Chips,Snacks & Sweets,121.27,2025-06-19,0.27,20
All-Purpose Flour,Pantry Staples,149.0,2025-02-08,0.32,12
Baby Wipes,Baby Products,106.76,2025-03-27,0.0,14
Organic Eggs,Dairy & Eggs,174.47,2025-01-28,0.16,12
Toothpaste,Personal Care,73.59,2025-03-14,0.27,8
Body Lotion,Personal Care,126.56,2025-07-17,0.28,20
Face Wash,Personal Care,52.26,2025-05-30,0.03,8
Fresh Milk,Dairy & Eggs,94.41,2025-06-01,0.02,15
All-Purpose Flour,Pantry Staples,162.99,2025-04-14,0.3,12
Bleach,Cleaning Supplies,109.06,2025-03-11,0.35,9
Canned Beans,Pantry Staples,14.68,2025-02-10,0.05,18
Scrub Sponge,Cleaning Supplies,55.53,2025-06-11,0.28,8
White Sugar,Pantry Staples,92.13,2025-03-22,0.25,10
Fresh Milk,Dairy & Eggs,7.64,2025-07-10,0.31,9
Liquid Detergent,Cleaning Supplies,147.04,2025-04-17,0.34,18
Scrub Sponge,Cleaning Supplies,106.27,2025-06-23,0.07,6
Teething Gel,Baby Products,149.13,2025-06-28,0.29,13
Greek Yogurt,Dairy & Eggs,192.69,2025-07-11,0.29,17
Liquid Detergent,Cleaning Supplies,146.62,2025-06-25,0.14,4
Gummy Bears,Snacks & Sweets,51.32,2025-03-19,0.24,5
Teething Gel,Baby Products,161.48,2025-04-20,0.08,12
White Sugar,Pantry Staples,150.27,2025-04-26,0.27,2
Gummy Bears,Snacks & Sweets,134.22,2025-04-13,0.04,4
Salted Butter,Dairy & Eggs,67.21,2025-07-24,0.23,16
Sunflower Oil,Pantry Staples,125.84,2025-01-23,0.01,11
Toothpaste,Personal Care,55.12,2025-04-16,0.23,10
Body Lotion,Personal Care,92.76,2025-06-21,0.3,17
Salted Butter,Dairy & Eggs,177.27,2025-03-25,0.24,9
Scrub Sponge,Cleaning Supplies,149.26,2025-04-02,0.28,4
Gummy Bears,Snacks & Sweets,144.02,2025-06-21,0.35,15
Salted Butter,Dairy & Eggs,64.11,2025-02-11,0.35,6
Cheddar Cheese,Dairy & Eggs,102.23,2025-05-13,0.35,10
Toothpaste,Personal Care,131.94,2025-03-06,0.07,11
Shampoo,Personal Care,82.45,2025-03-18,0.29,1
Gummy Bears,Snacks & Sweets,196.57,2025-06-21,0.09,3
Shampoo,Personal Care,92.85,2025-03-08,0.3,13
Diapers,Baby Products,132.18,2025-02-28,0.34,1
Salted Butter,Dairy & Eggs,36.56,2025-06-08,0.27,12
Toothpaste,Personal Care,104.46,2025-05-02,0.03,4
Disinfectant Spray,Cleaning Supplies,80.72,2025-02-24,0.33,18
Baby Shampoo,Baby Products,31.33,2025-03-10,0.07,19
Disinfectant Spray,Cleaning Supplies,75.44,2025-07-12,0.28,1
All-Purpose Flour,Pantry Staples,112.74,2025-01-29,0.21,11
Salted Butter,Dairy & Eggs,163.58,2025-02-02,0.35,20
Baby Shampoo,Baby Products,15.4,2025-04-09,0.31,20
Glass Cleaner,Cleaning Supplies,87.8,2025-06-27,0.1,11
Face Wash,Personal Care,173.35,2025-02-16,0.08,1
Canned Beans,Pantry Staples,49.65,2025-05-23,0.22,1
Body Lotion,Personal Care,60.06,2025-06-25,0.32,14
Canned Beans,Pantry Staples,125.8,2025-03-11,0.15,6
Bleach,Cleaning Supplies,181.7,2025-06-01,0.34,7
Liquid Detergent,Cleaning Supplies,89.67,2025-07-21,0.29,19
Cheddar Cheese,Dairy & Eggs,188.03,2025-06-04,0.08,13
Bleach,Cleaning Supplies,112.8,2025-04-15,0.14,9
Disinfectant Spray,Cleaning Supplies,199.15,2025-05-21,0.28,11
Baby Wipes,Baby Products,35.82,2025-02-23,0.34,14
Salted Butter,Dairy & Eggs,123.21,2025-04-14,0.14,3
Pasta,Pantry Staples,181.95,2025-02-06,0.01,4
Gummy Bears,Snacks & Sweets,162.59,2025-06-12,0.05,7
Potato Chips,Snacks & Sweets,89.77,2025-02-13,0.17,6
Gummy Bears,Snacks & Sweets,74.79,2025-06-26,0.1,9
Face Wash,Personal Care,132.48,2025-02-12,0.33,12
Glass Cleaner,Cleaning Supplies,151.06,2025-04-14,0.15,19
Infant Formula,Baby Products,112.71,2025-02-06,0.17,19
Bleach,Cleaning Supplies,140.07,2025-03-20,0.2,5
Disinfectant Spray,Cleaning Supplies,161.5,2025-05-24,0.08,9
Salted Butter,Dairy & Eggs,134.45,2025-05-21,0.06,10
Salted Butter,Dairy & Eggs,110.18,2025-03-08,0.14,10
Gummy Bears,Snacks & Sweets,175.08,2025-01-23,0.12,7
Teething Gel,Baby Products,6.51,2025-02-15,0.3,8
White Sugar,Pantry Staples,96.5,2025-05-25,0.19,2
Face Wash,Personal Care,155.98,2025-05-22,0.24,17
Teething Gel,Baby Products,8.56,2025-04-23,0.18,12
White Sugar,Pantry Staples,170.36,2025-04-18,0.05,8
Sunflower Oil,Pantry Staples,49.69,2025-01-30,0.32,8
Sunflower Oil,Pantry Staples,101.06,2025-03-22,0.21,13
Diapers,Baby Products,18.82,2025-05-26,0.14,5
Diapers,Baby Products,85.33,2025-06-17,0.08,4
Baby Wipes,Baby Products,83.41,2025-06-02,0.33,14
White Sugar,Pantry Staples,163.8,2025-05-15,0.16,2
Chocolate Bar,Snacks & Sweets,4.75,2025-04-09,0.01,9
Sunflower Oil,Pantry Staples,3.39,2025-04-21,0.04,4
All-Purpose Flour,Pantry Staples,3.92,2025-02-09,0.28,3
Bleach,Cleaning Supplies,189.54,2025-06-06,0.28,20
Fresh Milk,Dairy & Eggs,159.98,2025-03-27,0.05,13
Canned Beans,Pantry Staples,48.57,2025-04-12,0.29,5
Potato Chips,Snacks & Sweets,43.2,2025-03-01,0.06,7
Liquid Detergent,Cleaning Supplies,47.86,2025-06-28,0.1,11
Scrub Sponge,Cleaning Supplies,198.84,2025-04-10,0.21,14
Disinfectant Spray,Cleaning Supplies,193.98,2025-03-11,0.21,1
Deodorant,Personal Care,14.31,2025-03-28,0.12,9
Sunflower Oil,Pantry Staples,142.13,2025-05-30,0.34,20
Chocolate Bar,Snacks & Sweets,102.85,2025-04-18,0.34,10
Face Wash,Personal Care,54.53,2025-04-06,0.25,6
Cheddar Cheese,Dairy & Eggs,52.91,2025-05-07,0.05,9
Liquid Detergent,Cleaning Supplies,183.38,2025-05-08,0.16,9
Diapers,Baby Products,105.6,2025-05-04,0.24,10
Sunflower Oil,Pantry Staples,43.06,2025-03-10,0.19,2
Gummy Bears,Snacks & Sweets,16.92,2025-03-20,0.12,14
Toothpaste,Personal Care,74.7,2025-06-29,0.33,14
Baby Shampoo,Baby Products,75.73,2025-05-12,0.29,15
Cheddar Cheese,Dairy & Eggs,123.44,2025-07-22,0.15,10
Greek Yogurt,Dairy & Eggs,45.24,2025-04-08,0.07,15
Disinfectant Spray,Cleaning Supplies,97.0,2025-06-30,0.22,17
Salted Butter,Dairy & Eggs,168.72,2025-07-06,0.14,7
Chocolate Bar,Snacks & Sweets,54.96,2025-03-27,0.14,14
White Sugar,Pantry Staples,86.94,2025-06-04,0.31,16
Trail Mix,Snacks & Sweets,192.26,2025-02-08,0.23,8
Bleach,Cleaning Supplies,140.04,2025-04-01,0.25,18
Salted Butter,Dairy & Eggs,140.47,2025-04-01,0.16,14
Disinfectant Spray,Cleaning Supplies,54.06,2025-02-06,0.15,2
Greek Yogurt,Dairy & Eggs,63.09,2025-03-11,0.16,14
Liquid Detergent,Cleaning Supplies,169.27,2025-02-19,0.19,16
Greek Yogurt,Dairy & Eggs,179.21,2025-07-22,0.33,1
Scrub Sponge,Cleaning Supplies,44.82,2025-04-29,0.26,19
Chocolate Bar,Snacks & Sweets,57.23,2025-03-15,0.05,3
Face Wash,Personal Care,76.84,2025-07-02,0.08,10
Bleach,Cleaning Supplies,174.99,2025-05-19,0.22,16
Cheddar Cheese,Dairy & Eggs,59.51,2025-06-19,0.18,18
Gummy Bears,Snacks & Sweets,179.53,2025-02-16,0.05,4
White Sugar,Pantry Staples,107.5,2025-02-15,0.16,8
Organic Eggs,Dairy & Eggs,9.52,2025-02-06,0.12,1
Liquid Detergent,Cleaning Supplies,10.1,2025-06-24,0.14,13
White Sugar,Pantry Staples,51.45,2025-06-07,0.12,5
Fresh Milk,Dairy & Eggs,60.35,2025-07-15,0.14,4
Toothpaste,Personal Care,162.84,2025-06-02,0.34,16
Body Lotion,Personal Care,116.67,2025-05-29,0.07,1
White Sugar,Pantry Staples,85.62,2025-06-26,0.3,13
Fresh Milk,Dairy & Eggs,196.82,2025-05-02,0.17,3
Biscuits,Snacks & Sweets,5.1,2025-07-23,0.13,2
All-Purpose Flour,Pantry Staples,96.52,2025-07-18,0.27,19
Biscuits,Snacks & Sweets,197.79,2025-06-14,0.33,8
Teething Gel,Baby Products,159.78,2025-07-07,0.3,3
Body Lotion,Personal Care,120.25,2025-05-21,0.24,16
Cheddar Cheese,Dairy & Eggs,34.85,2025-02-12,0.09,11
White Sugar,Pantry Staples,169.4,2025-07-05,0.1,2
Baby Shampoo,Baby Products,46.34,2025-02-05,0.09,18
Trail Mix,Snacks & Sweets,3.0,2025-06-26,0.04,10
Gummy Bears,Snacks & Sweets,192.36,2025-06-14,0.32,10
Gummy Bears,Snacks & Sweets,58.65,2025-06-13,0.26,11
Deodorant,Personal Care,146.16,2025-02-22,0.35,15
Biscuits,Snacks & Sweets,89.16,2025-04-09,0.23,16
Canned Beans,Pantry Staples,189.13,2025-03-02,0.19,3
Body Lotion,Personal Care,174.04,2025-07-22,0.03,6
Infant Formula,Baby Products,37.7,2025-04-25,0.19,18
Biscuits,Snacks & Sweets,174.59,2025-05-17,0.32,1
White Sugar,Pantry Staples,180.39,2025-07-07,0.21,18
Diapers,Baby Products,98.93,2025-06-01,0.25,15
Gummy Bears,Snacks & Sweets,153.68,2025-06-09,0.16,6
Cheddar Cheese,Dairy & Eggs,25.4,2025-07-15,0.04,7
Baby Shampoo,Baby Products,149.57,2025-05-20,0.27,19
Baby Wipes,Baby Products,149.02,2025-07-18,0.01,1
Fresh Milk,Dairy & Eggs,148.86,2025-02-02,0.16,16
Fresh Milk,Dairy & Eggs,194.83,2025-07-03,0.25,2
Shampoo,Personal Care,193.61,2025-02-19,0.28,13
Canned Beans,Pantry Staples,125.06,2025-06-25,0.18,15
Face Wash,Personal Care,102.05,2025-07-07,0.12,11
Canned Beans,Pantry Staples,126.46,2025-03-14,0.18,17
Canned Beans,Pantry Staples,93.76,2025-06-06,0.04,17
Organic Eggs,Dairy & Eggs,153.02,2025-03-04,0.18,8
Organic Eggs,Dairy & Eggs,131.04,2025-04-26,0.17,4
Salted Butter,Dairy & Eggs,88.4,2025-02-14,0.2,14
Trail Mix,Snacks & Sweets,68.15,2025-07-11,0.05,3
Organic Eggs,Dairy & Eggs,80.86,2025-05-31,0.12,10
Bleach,Cleaning Supplies,128.21,2025-07-02,0.3,9
All-Purpose Flour,Pantry Staples,121.97,2025-03-28,0.34,4
Gummy Bears,Snacks & Sweets,24.98,2025-06-01,0.1,17
Bleach,Cleaning Supplies,66.36,2025-04-17,0.27,6
Teething Gel,Baby Products,95.07,2025-02-28,0.31,18
Fresh Milk,Dairy & Eggs,198.95,2025-06-15,0.23,4
Bleach,Cleaning Supplies,187.49,2025-07-03,0.33,20
Biscuits,Snacks & Sweets,27.04,2025-06-01,0.14,18
Disinfectant Spray,Cleaning Supplies,175.57,2025-06-28,0.16,8
Scrub Sponge,Cleaning Supplies,61.68,2025-04-17,0.17,17
All-Purpose Flour,Pantry Staples,161.65,2025-05-25,0.0,10
Biscuits,Snacks & Sweets,183.5,2025-03-28,0.31,14
Sunflower Oil,Pantry Staples,5.95,2025-04-09,0.09,4
Face Wash,Personal Care,80.61,2025-07-02,0.08,10
Greek Yogurt,Dairy & Eggs,125.15,2025-02-04,0.16,10
Gummy Bears,Snacks & Sweets,170.19,2025-03-20,0.27,14
Teething Gel,Baby Products,174.37,2025-06-14,0.33,16
Trail Mix,Snacks & Sweets,109.17,2025-05-12,0.26,16
Glass Cleaner,Cleaning Supplies,45.32,2025-06-27,0.09,3
Toothpaste,Personal Care,172.55,2025-05-10,0.25,16
Teething Gel,Baby Products,107.08,2025-03-25,0.06,4
Sunflower Oil,Pantry Staples,145.47,2025-03-12,0.2,12
Diapers,Baby Products,28.06,2025-03-16,0.06,7
Pasta,Pantry Staples,146.87,2025-03-13,0.02,16
Salted Butter,Dairy & Eggs,29.32,2025-06-22,0.02,20
Scrub Sponge,Cleaning Supplies,178.69,2025-06-07,0.25,14
Gummy Bears,Snacks & Sweets,52.97,2025-01-24,0.35,9
Disinfectant Spray,Cleaning Supplies,197.0,2025-04-27,0.18,6
Chocolate Bar,Snacks & Sweets,160.9,2025-04-17,0.22,16
All-Purpose Flour,Pantry Staples,119.21,2025-04-16,0.1,10
All-Purpose Flour,Pantry Staples,18.28,2025-03-23,0.08,19
Fresh Milk,Dairy & Eggs,95.12,2025-07-23,0.33,12
Toothpaste,Personal Care,114.31,2025-03-15,0.3,18
Diapers,Baby Products,117.45,2025-02-15,0.13,10
White Sugar,Pantry Staples,111.71,2025-06-04,0.0,7
Baby Shampoo,Baby Products,167.31,2025-04-22,0.27,12
Toothpaste,Personal Care,10.0,2025-04-05,0.28,9
Salted Butter,Dairy & Eggs,29.32,2025-02-11,0.15,19
Disinfectant Spray,Cleaning Supplies,25.94,2025-03-27,0.23,7
Gummy Bears,Snacks & Sweets,186.78,2025-02-12,0.02,2
Disinfectant Spray,Cleaning Supplies,81.11,2025-04-27,0.08,11
Canned Beans,Pantry Staples,180.03,2025-05-26,0.13,16
Biscuits,Snacks & Sweets,75.01,2025-06-12,0.01,2
Salted Butter,Dairy & Eggs,119.31,2025-05-20,0.07,2
Fresh Milk,Dairy & Eggs,52.62,2025-02-19,0.2,5
Organic Eggs,Dairy & Eggs,20.11,2025-06-07,0.2,4
Face Wash,Personal Care,173.9,2025-04-13,0.17,5
Diapers,Baby Products,54.36,2025-07-14,0.22,9
Canned Beans,Pantry Staples,96.18,2025-05-13,0.06,9
Greek Yogurt,Dairy & Eggs,71.4,2025-03-05,0.27,13
Trail Mix,Snacks & Sweets,68.99,2025-04-26,0.07,17
Infant Formula,Baby Products,90.9,2025-02-01,0.31,2
Deodorant,Personal Care,65.05,2025-04-28,0.08,16
Gummy Bears,Snacks & Sweets,62.39,2025-02-23,0.19,1
Liquid Detergent,Cleaning Supplies,177.69,2025-06-23,0.03,6
Body Lotion,Personal Care,150.35,2025-05-06,0.05,15
All-Purpose Flour,Pantry Staples,179.83,2025-05-05,0.02,5
Bleach,Cleaning Supplies,148.24,2025-04-08,0.2,10
Glass Cleaner,Cleaning Supplies,160.67,2025-04-22,0.08,18
Salted Butter,Dairy & Eggs,115.86,2025-07-23,0.2,13
Baby Shampoo,Baby Products,184.39,2025-07-05,0.14,10
