sales_id,product_id,store_id,date_id,price,discount,quantity,product_name,category,store_name,city,date_sold,day,month,year,quarter,weekday,net_price,revenue
5757015,371,1,2025-03-17,150.17,0.09,4,Toothpaste,Personal Care,Lulu Hypermarket Al Gharrafa,Qatar,2025-03-17,17,3,2025,1,Monday,136.6547,546.6188
5757016,555,1,2025-07-01,55.92,0.15,19,Infant Formula,Baby Products,Lulu Hypermarket Al Gharrafa,Qatar,2025-07-01,1,7,2025,3,Tuesday,47.532000000000004,903.1080000000001
5757017,286,1,2025-06-08,15.54,0.11,3,Scrub Sponge,Cleaning Supplies,Lulu Hypermarket Al Gharrafa,Qatar,2025-06-08,8,6,2025,2,Sunday,13.830599999999999,41.4918
5757018,377,1,2025-05-17,14.65,0.17,20,Biscuits,Snacks & Sweets,Lulu Hypermarket Al Gharrafa,Qatar,2025-05-17,17,5,2025,2,Saturday,12.1595,243.19
5757019,108,1,2025-07-01,102.95,0.1,13,Deodorant,Personal Care,Lulu Hypermarket Al Gharrafa,Qatar,2025-07-01,1,7,2025,3,Tuesday,92.655,1204.515
5757020,108,1,2025-02-23,133.48,0.31,9,Deodorant,Personal Care,Lulu Hypermarket Al Gharrafa,Qatar,2025-02-23,23,2,2025,1,Sunday,92.10119999999999,828.9107999999999
5757021,549,1,2025-04-08,99.12,0.28,18,Chocolate Bar,Snacks & Sweets,Lulu Hypermarket Al Gharrafa,Qatar,2025-04-08,8,4,2025,2,Tuesday,71.3664,1284.5952
5757022,289,1,2025-04-23,145.18,0.07,9,White Sugar,Pantry Staples,Lulu Hypermarket Al Gharrafa,Qatar,2025-04-23,23,4,2025,2,Wednesday,135.0174,1215.1566
5757023,470,1,2025-06-08,128.24,0.25,18,Salted Butter,Dairy & Eggs,Lulu Hypermarket Al Gharrafa,Qatar,2025-06-08,8,6,2025,2,Sunday,96.18,1731.2400000000002
5757024,291,1,2025-04-21,195.08,0.26,19,Teething Gel,Baby Products,Lulu Hypermarket Al Gharrafa,Qatar,2025-04-21,21,4,2025,2,Monday,144.35920000000002,2742.8248000000003
5757025,202,1,2025-02-21,56.87,0.14,12,Organic Eggs,Dairy & Eggs,Lulu Hypermarket Al Gharrafa,Qatar,2025-02-21,21,2,2025,1,Friday,48.908199999999994,586.8983999999999
5757026,202,1,2025-06-19,6.6,0.19,3,Organic Eggs,Dairy & Eggs,Lulu Hypermarket Al Gharrafa,Qatar,2025-06-19,19,6,2025,2,Thursday,5.346,16.038
5757027,6,1,2025-03-25,86.51,0.24,10,Pasta,Pantry Staples,Lulu Hypermarket Al Gharrafa,Qatar,2025-03-25,25,3,2025,1,Tuesday,65.7476,657.4760000000001
5757028,286,1,2025-03-09,68.61,0.03,18,Scrub Sponge,Cleaning Supplies,Lulu Hypermarket Al Gharrafa,Qatar,2025-03-09,9,3,2025,1,Sunday,66.5517,1197.9306
5757029,370,1,2025-02-18,139.33,0.19,4,Liquid Detergent,Cleaning Supplies,Lulu Hypermarket Al Gharrafa,Qatar,2025-02-18,18,2,2025,1,Tuesday,112.85730000000002,451.4292000000001
5757030,286,1,2025-02-25,20.93,0.01,2,Scrub Sponge,Cleaning Supplies,Lulu Hypermarket Al Gharrafa,Qatar,2025-02-25,25,2,2025,1,Tuesday,20.7207,41.4414
5757031,289,1,2025-04-13,138.15,0.04,19,White Sugar,Pantry Staples,Lulu Hypermarket Al Gharrafa,Qatar,2025-04-13,13,4,2025,2,Sunday,132.624,2519.8559999999998
5757032,91,1,2025-02-07,85.97,0.19,20,Bleach,Cleaning Supplies,Lulu Hypermarket Al Gharrafa,Qatar,2025-02-07,7,2,2025,1,Friday,69.6357,1392.714
5757033,5,1,2025-02-21,165.47,0.05,19,Potato Chips,Snacks & Sweets,Lulu Hypermarket Al Gharrafa,Qatar,2025-02-21,21,2,2025,1,Friday,157.1965,2986.7335
5757034,192,1,2025-05-14,174.77,0.17,11,Glass Cleaner,Cleaning Supplies,Lulu Hypermarket Al Gharrafa,Qatar,2025-05-14,14,5,2025,2,Wednesday,145.0591,1595.6501
5757035,286,1,2025-06-07,147.49,0.23,17,Scrub Sponge,Cleaning Supplies,Lulu Hypermarket Al Gharrafa,Qatar,2025-06-07,7,6,2025,2,Saturday,113.5673,1930.6441
5757036,113,1,2025-04-08,188.05,0.24,16,Body Lotion,Personal Care,Lulu Hypermarket Al Gharrafa,Qatar,2025-04-08,8,4,2025,2,Tuesday,142.918,2286.688
5757037,204,1,2025-03-19,14.88,0.16,15,Greek Yogurt,Dairy & Eggs,Lulu Hypermarket Al Gharrafa,Qatar,2025-03-19,19,3,2025,1,Wednesday,12.4992,187.488
5757038,542,1,2025-02-09,35.71,0.04,9,Baby Wipes,Baby Products,Lulu Hypermarket Al Gharrafa,Qatar,2025-02-09,9,2,2025,1,Sunday,34.2816,308.5344
5757039,113,1,2025-02-09,39.71,0.05,18,Body Lotion,Personal Care,Lulu Hypermarket Al Gharrafa,Qatar,2025-02-09,9,2,2025,1,Sunday,37.7245,679.0409999999999
5757040,291,1,2025-07-07,56.77,0.2,1,Teething Gel,Baby Products,Lulu Hypermarket Al Gharrafa,Qatar,2025-07-07,7,7,2025,3,Monday,45.416000000000004,45.416000000000004
5757041,194,1,2025-06-24,86.18,0.14,14,Fresh Milk,Dairy & Eggs,Lulu Hypermarket Al Gharrafa,Qatar,2025-06-24,24,6,2025,2,Tuesday,74.1148,1037.6072
5757042,184,1,2025-03-13,181.33,0.21,8,Disinfectant Spray,Cleaning Supplies,Lulu Hypermarket Al Gharrafa,Qatar,2025-03-13,13,3,2025,1,Thursday,143.25070000000002,1146.0056000000002
5757043,565,1,2025-05-21,26.3,0.17,8,Shampoo,Personal Care,Lulu Hypermarket Al Gharrafa,Qatar,2025-05-21,21,5,2025,2,Wednesday,21.829,174.632
5757044,470,1,2025-06-09,156.85,0.25,1,Salted Butter,Dairy & Eggs,Lulu Hypermarket Al Gharrafa,Qatar,2025-06-09,9,6,2025,2,Monday,117.63749999999999,117.63749999999999
5757045,555,1,2025-05-26,185.62,0.28,14,Infant Formula,Baby Products,Lulu Hypermarket Al Gharrafa,Qatar,2025-05-26,26,5,2025,2,Monday,133.6464,1871.0496
5757046,296,1,2025-06-09,133.32,0.12,12,Canned Beans,Pantry Staples,Lulu Hypermarket Al Gharrafa,Qatar,2025-06-09,9,6,2025,2,Monday,117.32159999999999,1407.8591999999999
5757047,463,1,2025-06-14,90.64,0.28,2,Gummy Bears,Snacks & Sweets,Lulu Hypermarket Al Gharrafa,Qatar,2025-06-14,14,6,2025,2,Saturday,65.2608,130.5216
5757048,363,1,2025-06-29,112.85,0.11,5,Trail Mix,Snacks & Sweets,Lulu Hypermarket Al Gharrafa,Qatar,2025-06-29,29,6,2025,2,Sunday,100.4365,502.1825
5757049,377,1,2025-04-06,141.87,0.33,4,Biscuits,Snacks & Sweets,Lulu Hypermarket Al Gharrafa,Qatar,2025-04-06,6,4,2025,2,Sunday,95.0529,380.2116
5757050,97,1,2025-01-30,117.65,0.29,13,Sunflower Oil,Pantry Staples,Lulu Hypermarket Al Gharrafa,Qatar,2025-01-30,30,1,2025,1,Thursday,83.5315,1085.9095
5757051,549,1,2025-04-01,45.23,0.09,10,Chocolate Bar,Snacks & Sweets,Lulu Hypermarket Al Gharrafa,Qatar,2025-04-01,1,4,2025,2,Tuesday,41.1593,411.593
5757052,542,1,2025-06-24,159.96,0.19,1,Baby Wipes,Baby Products,Lulu Hypermarket Al Gharrafa,Qatar,2025-06-24,24,6,2025,2,Tuesday,129.56760000000003,129.56760000000003
5757053,202,1,2025-02-28,188.97,0.32,19,Organic Eggs,Dairy & Eggs,Lulu Hypermarket Al Gharrafa,Qatar,2025-02-28,28,2,2025,1,Friday,128.4996,2441.4923999999996
5757054,117,1,2025-02-12,75.55,0.28,13,Diapers,Baby Products,Lulu Hypermarket Al Gharrafa,Qatar,2025-02-12,12,2,2025,1,Wednesday,54.395999999999994,707.1479999999999
5757055,377,1,2025-05-16,39.0,0.27,11,Biscuits,Snacks & Sweets,Lulu Hypermarket Al Gharrafa,Qatar,2025-05-16,16,5,2025,2,Friday,28.47,313.16999999999996
5757056,370,1,2025-05-17,94.76,0.13,8,Liquid Detergent,Cleaning Supplies,Lulu Hypermarket Al Gharrafa,Qatar,2025-05-17,17,5,2025,2,Saturday,82.44120000000001,659.5296000000001
5757057,296,1,2025-04-28,143.86,0.06,13,Canned Beans,Pantry Staples,Lulu Hypermarket Al Gharrafa,Qatar,2025-04-28,28,4,2025,2,Monday,135.2284,1757.9692
5757058,117,1,2025-07-19,157.14,0.12,13,Diapers,Baby Products,Lulu Hypermarket Al Gharrafa,Qatar,2025-07-19,19,7,2025,3,Saturday,138.2832,1797.6816
5757059,291,1,2025-04-10,47.94,0.21,12,Teething Gel,Baby Products,Lulu Hypermarket Al Gharrafa,Qatar,2025-04-10,10,4,2025,2,Thursday,37.8726,454.47119999999995
5757060,91,1,2025-05-08,157.47,0.11,1,Bleach,Cleaning Supplies,Lulu Hypermarket Al Gharrafa,Qatar,2025-05-08,8,5,2025,2,Thursday,140.1483,140.1483
5757061,113,1,2025-02-16,70.75,0.03,14,Body Lotion,Personal Care,Lulu Hypermarket Al Gharrafa,Qatar,2025-02-16,16,2,2025,1,Sunday,68.6275,960.785
5757062,568,1,2025-01-25,23.92,0.16,17,All-Purpose Flour,Pantry Staples,Lulu Hypermarket Al Gharrafa,Qatar,2025-01-25,25,1,2025,1,Saturday,20.0928,341.5776
5757063,184,1,2025-03-08,130.57,0.16,3,Disinfectant Spray,Cleaning Supplies,Lulu Hypermarket Al Gharrafa,Qatar,2025-03-08,8,3,2025,1,Saturday,109.6788,329.03639999999996
5757064,549,1,2025-01-23,17.87,0.34,5,Chocolate Bar,Snacks & Sweets,Lulu Hypermarket Al Gharrafa,Qatar,2025-01-23,23,1,2025,1,Thursday,11.7942,58.971000000000004
5757065,192,1,2025-05-09,51.37,0.34,18,Glass Cleaner,Cleaning Supplies,Lulu Hypermarket Al Gharrafa,Qatar,2025-05-09,9,5,2025,2,Friday,33.904199999999996,610.2755999999999
5757066,184,1,2025-05-13,73.63,0.14,10,Disinfectant Spray,Cleaning Supplies,Lulu Hypermarket Al Gharrafa,Qatar,2025-05-13,13,5,2025,2,Tuesday,63.321799999999996,633.218
5757067,204,1,2025-01-25,37.32,0.22,3,Greek Yogurt,Dairy & Eggs,Lulu Hypermarket Al Gharrafa,Qatar,2025-01-25,25,1,2025,1,Saturday,29.1096,87.3288
5757068,6,1,2025-02-16,148.11,0.3,15,Pasta,Pantry Staples,Lulu Hypermarket Al Gharrafa,Qatar,2025-02-16,16,2,2025,1,Sunday,103.677,1555.1550000000002
5757069,29,1,2025-02-26,197.86,0.01,6,Baby Shampoo,Baby Products,Lulu Hypermarket Al Gharrafa,Qatar,2025-02-26,26,2,2025,1,Wednesday,195.8814,1175.2884000000001
5757070,97,1,2025-07-19,71.42,0.09,5,Sunflower Oil,Pantry Staples,Lulu Hypermarket Al Gharrafa,Qatar,2025-07-19,19,7,2025,3,Saturday,64.9922,324.961
5757071,377,1,2025-03-08,176.76,0.33,19,Biscuits,Snacks & Sweets,Lulu Hypermarket Al Gharrafa,Qatar,2025-03-08,8,3,2025,1,Saturday,118.42919999999998,2250.1548
5757072,204,1,2025-05-16,76.69,0.19,13,Greek Yogurt,Dairy & Eggs,Lulu Hypermarket Al Gharrafa,Qatar,2025-05-16,16,5,2025,2,Friday,62.118900000000004,807.5457
5757073,204,1,2025-03-11,117.18,0.2,12,Greek Yogurt,Dairy & Eggs,Lulu Hypermarket Al Gharrafa,Qatar,2025-03-11,11,3,2025,1,Tuesday,93.74400000000001,1124.928
5757074,363,1,2025-03-16,134.58,0.07,17,Trail Mix,Snacks & Sweets,Lulu Hypermarket Al Gharrafa,Qatar,2025-03-16,16,3,2025,1,Sunday,125.1594,2127.7098
5757075,565,1,2025-02-06,7.16,0.13,12,Shampoo,Personal Care,Lulu Hypermarket Al Gharrafa,Qatar,2025-02-06,6,2,2025,1,Thursday,6.2292000000000005,74.75040000000001
5757076,291,1,2025-02-06,173.05,0.3,2,Teething Gel,Baby Products,Lulu Hypermarket Al Gharrafa,Qatar,2025-02-06,6,2,2025,1,Thursday,121.135,242.27
5757077,204,1,2025-06-14,50.95,0.23,11,Greek Yogurt,Dairy & Eggs,Lulu Hypermarket Al Gharrafa,Qatar,2025-06-14,14,6,2025,2,Saturday,39.231500000000004,431.54650000000004
5757078,184,1,2025-07-12,109.21,0.2,16,Disinfectant Spray,Cleaning Supplies,Lulu Hypermarket Al Gharrafa,Qatar,2025-07-12,12,7,2025,3,Saturday,87.368,1397.888
5757079,289,1,2025-03-02,176.81,0.02,20,White Sugar,Pantry Staples,Lulu Hypermarket Al Gharrafa,Qatar,2025-03-02,2,3,2025,1,Sunday,173.2738,3465.4759999999997
5757080,6,1,2025-02-19,85.44,0.16,9,Pasta,Pantry Staples,Lulu Hypermarket Al Gharrafa,Qatar,2025-02-19,19,2,2025,1,Wednesday,71.7696,645.9264
5757081,194,1,2025-02-22,76.35,0.32,20,Fresh Milk,Dairy & Eggs,Lulu Hypermarket Al Gharrafa,Qatar,2025-02-22,22,2,2025,1,Saturday,51.91799999999999,1038.36
5757082,555,1,2025-04-01,115.55,0.09,4,Infant Formula,Baby Products,Lulu Hypermarket Al Gharrafa,Qatar,2025-04-01,1,4,2025,2,Tuesday,105.15050000000001,420.60200000000003
5757083,204,1,2025-05-30,152.41,0.15,18,Greek Yogurt,Dairy & Eggs,Lulu Hypermarket Al Gharrafa,Qatar,2025-05-30,30,5,2025,2,Friday,129.5485,2331.8729999999996
5757084,194,1,2025-03-29,119.96,0.19,1,Fresh Milk,Dairy & Eggs,Lulu Hypermarket Al Gharrafa,Qatar,2025-03-29,29,3,2025,1,Saturday,97.16760000000001,97.16760000000001
5757085,29,1,2025-03-14,31.94,0.22,16,Baby Shampoo,Baby Products,Lulu Hypermarket Al Gharrafa,Qatar,2025-03-14,14,3,2025,1,Friday,24.913200000000003,398.61120000000005
5757086,210,1,2025-05-01,181.48,0.18,3,Face Wash,Personal Care,Lulu Hypermarket Al Gharrafa,Qatar,2025-05-01,1,5,2025,2,Thursday,148.8136,446.4408
5757087,184,1,2025-04-20,172.84,0.03,2,Disinfectant Spray,Cleaning Supplies,Lulu Hypermarket Al Gharrafa,Qatar,2025-04-20,20,4,2025,2,Sunday,167.6548,335.3096
5757088,286,1,2025-05-09,126.27,0.23,10,Scrub Sponge,Cleaning Supplies,Lulu Hypermarket Al Gharrafa,Qatar,2025-05-09,9,5,2025,2,Friday,97.2279,972.279
5757089,29,1,2025-04-03,93.64,0.08,4,Baby Shampoo,Baby Products,Lulu Hypermarket Al Gharrafa,Qatar,2025-04-03,3,4,2025,2,Thursday,86.14880000000001,344.59520000000003
5757090,286,1,2025-04-20,195.23,0.21,4,Scrub Sponge,Cleaning Supplies,Lulu Hypermarket Al Gharrafa,Qatar,2025-04-20,20,4,2025,2,Sunday,154.2317,616.9268
5757091,5,1,2025-05-24,128.79,0.33,13,Potato Chips,Snacks & Sweets,Lulu Hypermarket Al Gharrafa,Qatar,2025-05-24,24,5,2025,2,Saturday,86.28929999999998,1121.7608999999998
5757092,291,1,2025-02-10,125.46,0.01,7,Teething Gel,Baby Products,Lulu Hypermarket Al Gharrafa,Qatar,2025-02-10,10,2,2025,1,Monday,124.2054,869.4377999999999
5757093,291,1,2025-05-26,147.07,0.09,11,Teething Gel,Baby Products,Lulu Hypermarket Al Gharrafa,Qatar,2025-05-26,26,5,2025,2,Monday,133.8337,1472.1707
5757094,98,1,2025-04-13,171.61,0.07,7,Cheddar Cheese,Dairy & Eggs,Lulu Hypermarket Al Gharrafa,Qatar,2025-04-13,13,4,2025,2,Sunday,159.5973,1117.1811
5757095,370,1,2025-07-10,34.69,0.27,6,Liquid Detergent,Cleaning Supplies,Lulu Hypermarket Al Gharrafa,Qatar,2025-07-10,10,7,2025,3,Thursday,25.3237,151.94219999999999
5757096,377,1,2025-06-16,124.64,0.34,11,Biscuits,Snacks & Sweets,Lulu Hypermarket Al Gharrafa,Qatar,2025-06-16,16,6,2025,2,Monday,82.26239999999999,904.8863999999999
5757097,370,1,2025-04-08,107.49,0.09,14,Liquid Detergent,Cleaning Supplies,Lulu Hypermarket Al Gharrafa,Qatar,2025-04-08,8,4,2025,2,Tuesday,97.8159,1369.4225999999999
5757098,363,1,2025-04-22,45.86,0.03,6,Trail Mix,Snacks & Sweets,Lulu Hypermarket Al Gharrafa,Qatar,2025-04-22,22,4,2025,2,Tuesday,44.4842,266.90520000000004
5757099,192,1,2025-05-17,29.23,0.27,20,Glass Cleaner,Cleaning Supplies,Lulu Hypermarket Al Gharrafa,Qatar,2025-05-17,17,5,2025,2,Saturday,21.3379,426.75800000000004
5757100,97,1,2025-04-01,145.03,0.2,17,Sunflower Oil,Pantry Staples,Lulu Hypermarket Al Gharrafa,Qatar,2025-04-01,1,4,2025,2,Tuesday,116.024,1972.408
5757101,289,1,2025-06-15,120.88,0.22,17,White Sugar,Pantry Staples,Lulu Hypermarket Al Gharrafa,Qatar,2025-06-15,15,6,2025,2,Sunday,94.2864,1602.8688
5757102,565,1,2025-03-02,111.39,0.32,14,Shampoo,Personal Care,Lulu Hypermarket Al Gharrafa,Qatar,2025-03-02,2,3,2025,1,Sunday,75.7452,1060.4328
5757103,117,1,2025-04-06,182.75,0.03,12,Diapers,Baby Products,Lulu Hypermarket Al Gharrafa,Qatar,2025-04-06,6,4,2025,2,Sunday,177.26749999999998,2127.21
5757104,555,1,2025-03-12,131.53,0.32,1,Infant Formula,Baby Products,Lulu Hypermarket Al Gharrafa,Qatar,2025-03-12,12,3,2025,1,Wednesday,89.4404,89.4404
5757105,184,1,2025-02-18,47.06,0.16,9,Disinfectant Spray,Cleaning Supplies,Lulu Hypermarket Al Gharrafa,Qatar,2025-02-18,18,2,2025,1,Tuesday,39.5304,355.7736
5757106,202,1,2025-03-11,131.15,0.02,13,Organic Eggs,Dairy & Eggs,Lulu Hypermarket Al Gharrafa,Qatar,2025-03-11,11,3,2025,1,Tuesday,128.52700000000002,1670.851
5757107,108,1,2025-02-23,62.74,0.24,3,Deodorant,Personal Care,Lulu Hypermarket Al Gharrafa,Qatar,2025-02-23,23,2,2025,1,Sunday,47.6824,143.0472
5757108,91,1,2025-01-27,4.28,0.25,20,Bleach,Cleaning Supplies,Lulu Hypermarket Al Gharrafa,Qatar,2025-01-27,27,1,2025,1,Monday,3.21,64.2
5757109,6,1,2025-03-26,40.51,0.26,9,Pasta,Pantry Staples,Lulu Hypermarket Al Gharrafa,Qatar,2025-03-26,26,3,2025,1,Wednesday,29.9774,269.7966
5757110,370,1,2025-02-01,82.71,0.35,20,Liquid Detergent,Cleaning Supplies,Lulu Hypermarket Al Gharrafa,Qatar,2025-02-01,1,2,2025,1,Saturday,53.7615,1075.23
5757111,289,1,2025-01-23,45.91,0.03,4,White Sugar,Pantry Staples,Lulu Hypermarket Al Gharrafa,Qatar,2025-01-23,23,1,2025,1,Thursday,44.5327,178.1308
5757112,363,1,2025-02-10,149.49,0.11,5,Trail Mix,Snacks & Sweets,Lulu Hypermarket Al Gharrafa,Qatar,2025-02-10,10,2,2025,1,Monday,133.04610000000002,665.2305000000001
5757113,98,1,2025-03-05,164.29,0.15,7,Cheddar Cheese,Dairy & Eggs,Lulu Hypermarket Al Gharrafa,Qatar,2025-03-05,5,3,2025,1,Wednesday,139.6465,977.5255
5757114,463,1,2025-03-18,36.28,0.22,9,Gummy Bears,Snacks & Sweets,Lulu Hypermarket Al Gharrafa,Qatar,2025-03-18,18,3,2025,1,Tuesday,28.2984,254.68560000000002
5757115,377,1,2025-05-30,30.35,0.32,14,Biscuits,Snacks & Sweets,Lulu Hypermarket Al Gharrafa,Qatar,2025-05-30,30,5,2025,2,Friday,20.637999999999998,288.93199999999996
5757116,363,1,2025-05-14,171.17,0.06,10,Trail Mix,Snacks & Sweets,Lulu Hypermarket Al Gharrafa,Qatar,2025-05-14,14,5,2025,2,Wednesday,160.89979999999997,1608.9979999999996
5757117,91,1,2025-06-27,109.93,0.34,8,Bleach,Cleaning Supplies,Lulu Hypermarket Al Gharrafa,Qatar,2025-06-27,27,6,2025,2,Friday,72.5538,580.4304
5757118,117,1,2025-03-28,151.6,0.28,2,Diapers,Baby Products,Lulu Hypermarket Al Gharrafa,Qatar,2025-03-28,28,3,2025,1,Friday,109.15199999999999,218.30399999999997
5757119,202,1,2025-06-06,99.63,0.24,18,Organic Eggs,Dairy & Eggs,Lulu Hypermarket Al Gharrafa,Qatar,2025-06-06,6,6,2025,2,Friday,75.7188,1362.9384
5757120,113,1,2025-06-17,44.12,0.34,12,Body Lotion,Personal Care,Lulu Hypermarket Al Gharrafa,Qatar,2025-06-17,17,6,2025,2,Tuesday,29.119199999999996,349.43039999999996
5757121,97,1,2025-06-16,42.37,0.33,5,Sunflower Oil,Pantry Staples,Lulu Hypermarket Al Gharrafa,Qatar,2025-06-16,16,6,2025,2,Monday,28.387899999999995,141.93949999999998
5757122,6,1,2025-03-02,91.36,0.09,8,Pasta,Pantry Staples,Lulu Hypermarket Al Gharrafa,Qatar,2025-03-02,2,3,2025,1,Sunday,83.1376,665.1008
5757123,202,1,2025-03-04,63.87,0.0,13,Organic Eggs,Dairy & Eggs,Lulu Hypermarket Al Gharrafa,Qatar,2025-03-04,4,3,2025,1,Tuesday,63.87,830.31
5757124,91,1,2025-06-27,153.56,0.2,11,Bleach,Cleaning Supplies,Lulu Hypermarket Al Gharrafa,Qatar,2025-06-27,27,6,2025,2,Friday,122.84800000000001,1351.3280000000002
5757125,202,1,2025-06-04,20.34,0.3,10,Organic Eggs,Dairy & Eggs,Lulu Hypermarket Al Gharrafa,Qatar,2025-06-04,4,6,2025,2,Wednesday,14.238,142.38
5757126,192,1,2025-06-18,95.65,0.18,4,Glass Cleaner,Cleaning Supplies,Lulu Hypermarket Al Gharrafa,Qatar,2025-06-18,18,6,2025,2,Wednesday,78.433,313.732
5757127,97,1,2025-05-24,159.19,0.35,8,Sunflower Oil,Pantry Staples,Lulu Hypermarket Al Gharrafa,Qatar,2025-05-24,24,5,2025,2,Saturday,103.4735,827.788
5757128,296,1,2025-03-22,153.29,0.17,11,Canned Beans,Pantry Staples,Lulu Hypermarket Al Gharrafa,Qatar,2025-03-22,22,3,2025,1,Saturday,127.23069999999998,1399.5376999999999
5757129,194,1,2025-06-26,80.81,0.08,17,Fresh Milk,Dairy & Eggs,Lulu Hypermarket Al Gharrafa,Qatar,2025-06-26,26,6,2025,2,Thursday,74.3452,1263.8684
5757130,184,1,2025-05-17,164.03,0.11,11,Disinfectant Spray,Cleaning Supplies,Lulu Hypermarket Al Gharrafa,Qatar,2025-05-17,17,5,2025,2,Saturday,145.9867,1605.8537000000001
5757131,113,1,2025-05-16,4.26,0.18,13,Body Lotion,Personal Care,Lulu Hypermarket Al Gharrafa,Qatar,2025-05-16,16,5,2025,2,Friday,3.4932000000000003,45.41160000000001
5757132,117,1,2025-06-17,6.33,0.27,1,Diapers,Baby Products,Lulu Hypermarket Al Gharrafa,Qatar,2025-06-17,17,6,2025,2,Tuesday,4.6209,4.6209
5757133,555,1,2025-07-21,93.15,0.24,17,Infant Formula,Baby Products,Lulu Hypermarket Al Gharrafa,Qatar,2025-07-21,21,7,2025,3,Monday,70.79400000000001,1203.4980000000003
5757134,463,1,2025-02-20,159.98,0.07,6,Gummy Bears,Snacks & Sweets,Lulu Hypermarket Al Gharrafa,Qatar,2025-02-20,20,2,2025,1,Thursday,148.7814,892.6884
5757135,192,1,2025-04-27,67.67,0.03,15,Glass Cleaner,Cleaning Supplies,Lulu Hypermarket Al Gharrafa,Qatar,2025-04-27,27,4,2025,2,Sunday,65.6399,984.5985
5757136,296,1,2025-03-11,69.94,0.06,2,Canned Beans,Pantry Staples,Lulu Hypermarket Al Gharrafa,Qatar,2025-03-11,11,3,2025,1,Tuesday,65.7436,131.4872
5757137,542,1,2025-03-25,28.77,0.02,13,Baby Wipes,Baby Products,Lulu Hypermarket Al Gharrafa,Qatar,2025-03-25,25,3,2025,1,Tuesday,28.194599999999998,366.52979999999997
5757138,98,1,2025-04-06,187.7,0.29,1,Cheddar Cheese,Dairy & Eggs,Lulu Hypermarket Al Gharrafa,Qatar,2025-04-06,6,4,2025,2,Sunday,133.267,133.267
5757139,289,1,2025-03-21,66.43,0.06,7,White Sugar,Pantry Staples,Lulu Hypermarket Al Gharrafa,Qatar,2025-03-21,21,3,2025,1,Friday,62.4442,437.1094
5757140,289,1,2025-03-19,24.48,0.16,12,White Sugar,Pantry Staples,Lulu Hypermarket Al Gharrafa,Qatar,2025-03-19,19,3,2025,1,Wednesday,20.5632,246.7584
